Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
David Andrews,60,28,C,12,12,300.0,6-2,Georgia,7/10/1992,5,4,,"$3,000,000 ",AndrDa00
Devin Asiasi,86,23,TE,9,3,260.0,6-3,MichiganUCLA,8/14/1997,Rook,0,New England Patriots / 3rd / 91st pick / 2020,"$610,000 ",AsiaDe00
Jake Bailey,7,23,P,16,0,212.0,6-2,Stanford,6/18/1997,1,3,New England Patriots / 5th / 163rd pick / 2019,"$675,000 ",BailJa00
Ja'Whaun Bentley,51,24,LLB,13,13,250.0,6-2,Purdue,8/24/1996,2,7,New England Patriots / 5th / 143rd pick / 2018,"$750,000 ",BentJa00
Rashod Berry,43,24,TE,3,0,255.0,6-4,Ohio St.,10/14/1996,Rook,0,,,BerrRa01
Justin Bethel,29,30,DB,16,0,200.0,6-0,Presbyterian,6/17/1990,8,1,Arizona Cardinals / 6th / 177th pick / 2012,"$1,500,000 ",BethJu00
Tashawn Bower,96,25,DE,7,3,250.0,6-5,LSU,2/18/1995,3,2,,"$397,062 ",BoweTa00
Terrence Brooks,25,28,DB,14,2,205.0,5-11,Florida St.,3/2/1992,6,1,Baltimore Ravens / 3rd / 79th pick / 2014,"$910,000 ",BrooTe00
Myles Bryant,41,22,CB,9,0,192.0,5-9,Washington,1/2/1998,Rook,1,,,BryaMy01
Rex Burkhead,34,30,RB,10,0,215.0,5-10,Nebraska,7/2/1990,7,3,Cincinnati Bengals / 6th / 190th pick / 2013,"$1,050,000 ",BurkRe00
Adam Butler,70,26,DT,15,4,300.0,6-5,Vanderbilt,4/12/1994,3,4,,"$3,259,000 ",ButlAd00
Damiere Byrd,10,27,WR,16,14,175.0,5-9,South Carolina,1/27/1993,4,6,,"$1,000,000 ",ByrdDa00
Shilique Calhoun,90,28,DE,10,0,260.0,6-4,Michigan St.,3/20/1992,4,1,Oakland Raiders / 3rd / 75th pick / 2016,"$1,000,000 ",CalhSh00
Joe Cardona,49,28,LS,16,0,245.0,6-2,Navy,4/16/1992,5,1,New England Patriots / 5th / 166th pick / 2015,"$910,000 ",CardJo00
Brandon Copeland,52,29,LB,6,4,263.0,6-3,Pennsylvania,7/2/1991,5,2,,"$910,000 ",CopeBr00
Byron Cowart,99,24,RDT,14,14,300.0,6-3,Maryland,5/20/1996,1,8,New England Patriots / 5th / 159th pick / 2019,"$645,588 ",CowaBy00
Korey Cunningham,74,25,DT,11,0,305.0,6-6,Cincinnati,5/17/1995,2,1,Arizona Cardinals / 7th / 254th pick / 2018,"$750,000 ",CunnKo00
Carl Davis,98,28,DT,3,1,335.0,6-5,Iowa,3/2/1992,5,1,Baltimore Ravens / 3rd / 90th pick / 2015,"$642,353 ",DaviCa01
Cody Davis,22,31,DB,13,0,205.0,6-2,Texas Tech,6/6/1989,7,1,,"$1,100,000 ",DaviCo02
Kyle Dugger,35,24,DB,14,7,216.0,6-1,Lenoir-Rhyne,3/22/1996,Rook,3,New England Patriots / 2nd / 37th pick / 2020,"$610,000 ",DuggKy00
Julian Edelman,11,34,WR,6,1,198.0,5-10,San MateoKent St.,5/22/1986,11,3,New England Patriots / 7th / 232nd pick / 2009,"$3,300,000 ",EdelJu00
Jermaine Eluemunor,72,26,RT,12,8,338.0,6-4,LackawannaTexas A&M,12/13/1994,3,3,Baltimore Ravens / 5th / 159th pick / 2017,"$2,133,000 ",ElueJe00
James Ferentz,66,31,C,7,2,290.0,6-2,Iowa,6/5/1989,5,1,,"$727,941 ",FereJa00
